method,cluster,cells,marker,median_arcsinh,relative_iqr
Leiden,1,2881,CD117,-0.09651385,-0.11190010114205191
Leiden,1,2881,2DS4,-0.09288843,-0.1836486163981257
Leiden,1,2881,ILT2-CD85j,-0.066037335,-0.4428213525966851
Leiden,1,2881,NKp46,-0.091223955,-0.08930577808169994
Leiden,1,2881,NKG2D,-0.083817475,-0.04766920902403377
Leiden,1,2881,NKG2C,-0.07731952,-0.07059420389283948
Leiden,1,2881,2B4,-0.048146337,-0.4957435853651166
Leiden,1,2881,CD33,1.4301919,-0.23726975891827137
Leiden,1,2881,CD11b,-0.07493821,-0.11289611846307566
Leiden,1,2881,NKp30,-0.0882666,-0.05675744595339895
Leiden,1,2881,CD122,-0.0753363,-0.0383930217016124
Leiden,1,2881,3DL1,-0.088474125,-0.07129989866821151
Leiden,1,2881,NKp44,-0.09019336,-0.03670468215269969
Leiden,1,2881,CD127,2.0133054,0.956868841448581
Leiden,1,2881,2DL1,-0.0785912,-0.02456716421710677
Leiden,1,2881,CD94,-0.08441713,-0.03792191845197354
Leiden,1,2881,CD34,-0.08010375,-0.043283433155438915
Leiden,1,2881,CCR7,1.0089436,0.8089474400416412
Leiden,1,2881,2DL3,-0.091126114,-0.15469146821750543
Leiden,1,2881,NKG2A,-0.07466751,-0.1381806286323675
Leiden,1,2881,HLA-DR,1.3582133,-0.4997238069092052
Leiden,1,2881,2DL4,-0.074800946,-0.3297269835007813
Leiden,1,2881,CD56,-0.072502,-0.1950108625781439
Leiden,1,2881,2DL5,-0.0911424,-0.1100348902968774
Leiden,1,2881,CD25,-0.0919916,-0.13122724480507061
Leiden,2,2200,CD3,4.386352,0.28723622439619856
Leiden,2,2200,CD27,1.4634995,0.6517977574140722
Leiden,2,2200,CD19,-0.05170995,-0.01986327487924354
Leiden,2,2200,CD4,-0.019399516,-0.3081562223331026
Leiden,2,2200,CD8,4.260309,0.9075285296257299
Leiden,2,2200,CD57,0.31519246,0.2678142980176734
Leiden,2,2200,2DL1-S1,-0.0785657,-0.05145680075631295
Leiden,2,2200,TRAIL,-0.09631164,-0.04622486923336286
Leiden,2,2200,2DL2-L3-S2,-0.08693057,-0.10389549879718732
Leiden,2,2200,CD16,-0.04411014,-0.031020610385560556
Leiden,2,2200,CD10,-0.08582698,-0.12792730638970926
Leiden,2,2200,3DL1-S1,-0.09349254,-0.04817255901209266
Leiden,2,2200,CD117,-0.09165312,-0.07013352131290405
Leiden,2,2200,2DS4,-0.09176463,-0.17513983025149352
Leiden,2,2200,ILT2-CD85j,-0.054825507,-0.438322596648823
Leiden,2,2200,NKp46,-0.08717403,-0.07773221725046128
Leiden,2,2200,NKG2D,1.2899299,0.9837322609575483
Leiden,2,2200,NKG2C,-0.05528033,0.07291483428722129
Leiden,2,2200,2B4,-0.0020528268,-0.4757258206139319
Leiden,2,2200,CD33,1.2735863,-0.2891278788879802
Leiden,2,2200,CD11b,1.0626265,0.6779359859513864
Leiden,2,2200,NKp30,-0.07054295,-0.032613365279699616
Leiden,2,2200,CD122,-0.05040082,-0.006292706590549789
Leiden,2,2200,3DL1,-0.08723932,-0.060877851727881634
Leiden,2,2200,NKp44,-0.09542817,-0.08298081613731682
Leiden,2,2200,CD127,1.7477618,0.8215212921245354
Leiden,2,2200,2DL1,-0.06992333,0.04362619620784881
Leiden,2,2200,CD94,-0.056179717,-0.013771339995698986
Leiden,2,2200,CD34,-0.080174014,-0.04334049080889442
Leiden,2,2200,CCR7,0.2316781,0.19453494181312056
Leiden,2,2200,2DL3,-0.08668377,-0.12788467125997108
Leiden,2,2200,NKG2A,-0.06723501,-0.13333918760472602
Leiden,2,2200,HLA-DR,1.5189154,-0.45838803579625587
Leiden,2,2200,2DL4,-0.06381875,-0.3241746435690441
Leiden,2,2200,CD56,-0.067856535,-0.19230049854511766
Leiden,2,2200,2DL5,-0.088563785,-0.10055905216320266
Leiden,2,2200,CD25,-0.09358725,-0.1443156050368788
Leiden,3,2035,CD3,1.2316236,-0.8368858598706499
Leiden,3,2035,CD27,-0.020164883,-0.19697203056458884
Leiden,3,2035,CD19,2.7574885,1.9969754470699086
Leiden,3,2035,CD4,-0.029368237,-0.31278442678191437
Leiden,3,2035,CD8,0.3875267,-0.43501977238907374
Leiden,3,2035,CD57,-0.07558969,-0.03352487522127181
Leiden,3,2035,2DL1-S1,-0.08500483,-0.10280481498328572
Leiden,3,2035,TRAIL,-0.09788919,-0.06086657315538997
Leiden,3,2035,2DL2-L3-S2,-0.082718246,-0.06993865568878252
Leiden,3,2035,CD16,-0.053275097,-0.035957557967474456
Leiden,3,2035,CD10,-0.08858399,-0.14612047345585968
Leiden,3,2035,3DL1-S1,-0.09684736,-0.0786371834033029
Leiden,3,2035,CD117,-0.09762685,-0.12146370784901736
Leiden,3,2035,2DS4,-0.091676116,-0.17446966053231885
Leiden,3,2035,ILT2-CD85j,1.50161,0.18620274861319805
Leiden,3,2035,NKp46,-0.083082,-0.06603833713813873
Leiden,3,2035,NKG2D,-0.08045433,-0.04514418047888544
Leiden,3,2035,NKG2C,-0.09375472,-0.17761270148229608
Leiden,3,2035,2B4,-0.00043413797,-0.4750228761489055
Leiden,3,2035,CD33,1.0212588,-0.3726831710240288
Leiden,3,2035,CD11b,-0.07818918,-0.11515618561139555
Leiden,3,2035,NKp30,-0.08305198,-0.04965381582987229
Leiden,3,2035,CD122,-0.0903108,-0.05767021534851648
Leiden,3,2035,3DL1,-0.086359255,-0.05344992738818004
Leiden,3,2035,NKp44,-0.09486748,-0.07802430551842143
Leiden,3,2035,CD127,-0.07716031,-0.10864141739542486
Leiden,3,2035,2DL1,-0.09453543,-0.1500063777480403
Leiden,3,2035,CD94,-0.08691179,-0.04005552612850569
Leiden,3,2035,CD34,-0.08176522,-0.04463257955167743
Leiden,3,2035,CCR7,0.30758166,0.25453517736496867
Leiden,3,2035,2DL3,-0.06769507,-0.013299519167598736
Leiden,3,2035,NKG2A,0.60601836,0.30520964036983383
Leiden,3,2035,HLA-DR,5.7541666,0.6310026041084749
Leiden,3,2035,2DL4,1.8991855,0.6682723910187128
Leiden,3,2035,CD56,0.31772867,0.032666410556658906
Leiden,3,2035,2DL5,-0.07368722,-0.04589099322675087
Leiden,3,2035,CD25,-0.081036344,-0.04136623174382577
Leiden,4,1887,CD3,1.384125,-0.7825451664690123
Leiden,4,1887,CD27,-0.019689547,-0.19670011266556872
Leiden,4,1887,CD19,-0.047270566,-0.01667605917861431
Leiden,4,1887,CD4,-0.01861035,-0.30778983353747535
Leiden,4,1887,CD8,2.0874898,0.15429361717536752
Leiden,4,1887,CD57,0.5484776,0.4477046683067843
Leiden,4,1887,2DL1-S1,-0.04233598,0.23745259378931705
Leiden,4,1887,TRAIL,-0.08788745,0.03196259728724981
Leiden,4,1887,2DL2-L3-S2,0.041114856,0.9283173588734297
Leiden,4,1887,CD16,4.08792,2.1948068866056145
Leiden,4,1887,CD10,0.5012256,3.74595559603562
Leiden,4,1887,3DL1-S1,-0.083432406,0.04318186982833858
Leiden,4,1887,CD117,-0.051612068,0.27392555900965015
Leiden,4,1887,2DS4,-0.06003307,0.06511361657993962
Leiden,4,1887,ILT2-CD85j,0.34672296,-0.27719982290133555
Leiden,4,1887,NKp46,1.9517674,5.748993305438181
Leiden,4,1887,NKG2D,1.2880408,0.9823139285321157
Leiden,4,1887,NKG2C,-0.04740543,0.12419257428716805
Leiden,4,1887,2B4,1.8570269,0.3316451397656173
Leiden,4,1887,CD33,1.6819214,-0.15391247221401982
Leiden,4,1887,CD11b,-0.008762424,-0.06689088218089803
Leiden,4,1887,NKp30,1.7592043,2.4599626868479816
Leiden,4,1887,CD122,2.0371735,2.6811147123407384
Leiden,4,1887,3DL1,-0.04240444,0.3175385146614037
Leiden,4,1887,NKp44,-0.074337,0.10346687924850516
Leiden,4,1887,CD127,0.015330446,-0.06149888803629435
Leiden,4,1887,2DL1,-0.02829589,0.3711246891918268
Leiden,4,1887,CD94,2.762588,2.397033019291018
Leiden,4,1887,CD34,0.13272949,0.1295411408807581
Leiden,4,1887,CCR7,-0.047370594,-0.02604736988891784
Leiden,4,1887,2DL3,-0.04590618,0.11818300450394706
Leiden,4,1887,NKG2A,2.4340062,1.4959380411016152
Leiden,4,1887,HLA-DR,1.8949598,-0.3616619566901606
Leiden,4,1887,2DL4,0.06283719,-0.2601404950406455
Leiden,4,1887,CD56,3.3838196,1.8215549239141362
Leiden,4,1887,2DL5,-0.008845681,0.19238717260049862
Leiden,4,1887,CD25,-0.06324838,0.10454034694835766
Leiden,5,1165,CD3,4.001597,0.15013670670460993
Leiden,5,1165,CD27,0.12808497,-0.11216175169803795
Leiden,5,1165,CD19,-0.033686887,-0.0069237789802334485
Leiden,5,1165,CD4,0.5051753,-0.06460992449475646
Leiden,5,1165,CD8,4.0966673,0.8508000155590077
Leiden,5,1165,CD57,3.5965197,2.7981049169118175
Leiden,5,1165,2DL1-S1,1.1262157,9.555921860970935
Leiden,5,1165,TRAIL,-0.0850095,0.05867372325777549
Leiden,5,1165,2DL2-L3-S2,-0.05695745,0.13772690371065766
Leiden,5,1165,CD16,0.144582,0.0706234023901569
Leiden,5,1165,CD10,-0.06578163,0.00434931936594116
Leiden,5,1165,3DL1-S1,-0.087371394,0.007412557710700291
Leiden,5,1165,CD117,-0.082910284,0.0049907015533222476
Leiden,5,1165,2DS4,-0.07610961,-0.05660886386217282
Leiden,5,1165,ILT2-CD85j,0.87626916,-0.06471751567490208
Leiden,5,1165,NKp46,-0.07988556,-0.05690380207331349
Leiden,5,1165,NKG2D,0.9809499,0.7517518966319651
Leiden,5,1165,NKG2C,-0.06630105,0.0011530015983124435
Leiden,5,1165,2B4,0.95522094,-0.05999593216287421
Leiden,5,1165,CD33,0.69229245,-0.48161655408306836
Leiden,5,1165,CD11b,0.77890515,0.4806936340200174
Leiden,5,1165,NKp30,0.45293942,0.6805013262158085
Leiden,5,1165,CD122,-0.012507927,0.04248813878612997
Leiden,5,1165,3DL1,-0.090514146,-0.08851813164891482
Leiden,5,1165,NKp44,-0.09318422,-0.06314410373428607
Leiden,5,1165,CD127,-0.052293334,-0.0959667248630163
Leiden,5,1165,2DL1,-0.090172075,-0.1156782210469129
Leiden,5,1165,CD94,0.32124564,0.309028833181661
Leiden,5,1165,CD34,-0.06754476,-0.033085298714436495
Leiden,5,1165,CCR7,-0.071910806,-0.045445908254510496
Leiden,5,1165,2DL3,-0.07739071,-0.07180674806389623
Leiden,5,1165,NKG2A,-0.051452074,-0.1230583797640001
Leiden,5,1165,HLA-DR,1.6426147,-0.4265701195265759
Leiden,5,1165,2DL4,-0.042486195,-0.3133894211609776
Leiden,5,1165,CD56,-0.029442059,-0.16988784881177815
Leiden,5,1165,2DL5,-0.07709498,-0.05841375511147771
Leiden,5,1165,CD25,-0.092138655,-0.1324334464351074
Leiden,6,1072,CD3,1.3456029,-0.7962717695199243
Leiden,6,1072,CD27,-0.069622725,-0.2252657111063679
Leiden,6,1072,CD19,-0.074264735,-0.036056280270186876
Leiden,6,1072,CD4,-0.059853192,-0.3269377990394624
Leiden,6,1072,CD8,0.19620499,-0.5013438343893433
Leiden,6,1072,CD57,-0.07726157,-0.034814092414315635
Leiden,6,1072,2DL1-S1,-0.0947769,-0.18073096467450073
Leiden,6,1072,TRAIL,-0.10047595,-0.08487506746660291
Leiden,6,1072,2DL2-L3-S2,-0.09219032,-0.14629589101752744
Leiden,6,1072,CD16,-0.05209185,-0.03532016957927309
Leiden,6,1072,CD10,-0.09020277,-0.15680259218706563
Leiden,6,1072,3DL1-S1,-0.09662497,-0.07661767413799903
Leiden,6,1072,CD117,-0.09366912,-0.08745625888844175
Leiden,6,1072,2DS4,-0.0879191,-0.14602366370979566
Leiden,6,1072,ILT2-CD85j,0.47822464,-0.22443430561622602
Leiden,6,1072,NKp46,-0.08268561,-0.06490557720322016
Leiden,6,1072,NKG2D,-0.07491344,-0.040984116469105415
Leiden,6,1072,NKG2C,-0.09115876,-0.1607089974980154
Leiden,6,1072,2B4,0.22954807,-0.3751449667949942
Leiden,6,1072,CD33,2.0686438,-0.025853840816136467
Leiden,6,1072,CD11b,-0.0462138,-0.09292698646327446
Leiden,6,1072,NKp30,-0.08368248,-0.050512712658072695
Leiden,6,1072,CD122,-0.077798404,-0.04156257417818327
Leiden,6,1072,3DL1,-0.09058023,-0.08907591770456291
Leiden,6,1072,NKp44,-0.09287249,-0.060388430311159536
Leiden,6,1072,CD127,-0.08097638,-0.11058647474504507
Leiden,6,1072,2DL1,-0.094728,-0.15152137934987306
Leiden,6,1072,CD94,-0.08111,-0.03509343604482506
Leiden,6,1072,CD34,-0.061385717,-0.028084042021282892
Leiden,6,1072,CCR7,-0.086388335,-0.05689009717488451
Leiden,6,1072,2DL3,-0.08384724,-0.11076794146431164
Leiden,6,1072,NKG2A,-0.04850304,-0.1211374190572928
Leiden,6,1072,HLA-DR,3.2488394,-0.013417267863863939
Leiden,6,1072,2DL4,0.09426938,-0.24424913650635302
Leiden,6,1072,CD56,-0.045053743,-0.178996369722146
Leiden,6,1072,2DL5,-0.082878776,-0.07966791416883201
Leiden,6,1072,CD25,-0.09182289,-0.1298433855706098
Leiden,7,857,CD3,3.5759192,-0.0015447462046785535
Leiden,7,857,CD27,0.49261314,0.09637630303579023
Leiden,7,857,CD19,0.0018031765,0.01855599378362849
Leiden,7,857,CD4,1.1697729,0.24394525760168134
Leiden,7,857,CD8,1.4798313,-0.056358775840828254
Leiden,7,857,CD57,-0.057417113,-0.019511676211328974
Leiden,7,857,2DL1-S1,-0.07876846,-0.05307368585159592
Leiden,7,857,TRAIL,-0.09515013,-0.035444492466988206
Leiden,7,857,2DL2-L3-S2,-0.091165625,-0.1380355291186877
Leiden,7,857,CD16,-0.017015876,-0.016425568959228438
Leiden,7,857,CD10,-0.07421444,-0.05129771030647874
Leiden,7,857,3DL1-S1,-0.09074345,-0.023208558520459298
Leiden,7,857,CD117,-0.09107459,-0.06516240996771877
Leiden,7,857,2DS4,-0.05232199,0.12349758402403745
Leiden,7,857,ILT2-CD85j,1.882438,0.3390113070669667
Leiden,7,857,NKp46,-0.06593542,-0.017038198135408845
Leiden,7,857,NKG2D,-0.057105064,-0.027613690823602
Leiden,7,857,NKG2C,-0.06530737,0.007623365570597737
Leiden,7,857,2B4,1.4123846,0.1385435306600025
Leiden,7,857,CD33,3.126046,0.32429255407156143
Leiden,7,857,CD11b,0.35992143,0.18941720260967992
Leiden,7,857,NKp30,-0.055992946,-0.012792603662498103
Leiden,7,857,CD122,-0.06209866,-0.021351744766304862
Leiden,7,857,3DL1,-0.08895381,-0.07534853247145117
Leiden,7,857,NKp44,-0.08467655,0.012064394757545205
Leiden,7,857,CD127,0.026463019,-0.05582461862808264
Leiden,7,857,2DL1,-0.08441571,-0.0703907751138632
Leiden,7,857,CD94,-0.0647272,-0.02108173797048583
Leiden,7,857,CD34,-0.0036569403,0.018792805737145542
Leiden,7,857,CCR7,0.0516132,0.05219730598447298
Leiden,7,857,2DL3,-0.053200886,0.07416393845785868
Leiden,7,857,NKG2A,0.3335672,0.12773835433101846
Leiden,7,857,HLA-DR,5.1887746,0.4855725589441069
Leiden,7,857,2DL4,1.7761159,0.6060513842860862
Leiden,7,857,CD56,0.27863228,0.009855907148349096
Leiden,7,857,2DL5,-0.04335477,0.06557398211969995
Leiden,7,857,CD25,1.4051285,12.148968911160598
Leiden,8,757,CD3,4.6903906,0.39557405108003685
Leiden,8,757,CD27,0.6912599,0.21001749167210143
Leiden,8,757,CD19,-0.036987215,-0.0092932196975856
Leiden,8,757,CD4,0.090883575,-0.2569546887690754
Leiden,8,757,CD8,2.4392874,0.27624863232344593
Leiden,8,757,CD57,1.3544941,1.0692385315199358
Leiden,8,757,2DL1-S1,-0.045636762,0.211130917666362
Leiden,8,757,TRAIL,-0.0894889,0.01709905670060956
Leiden,8,757,2DL2-L3-S2,-0.064885885,0.07381339558335141
Leiden,8,757,CD16,0.49316633,0.2583975648234141
Leiden,8,757,CD10,-0.071794435,-0.0353283929126235
Leiden,8,757,3DL1-S1,-0.093188845,-0.04541477090652626
Leiden,8,757,CD117,-0.08351274,-0.00018597893672504817
Leiden,8,757,2DS4,-0.06433411,0.03254858630035957
Leiden,8,757,ILT2-CD85j,0.59785485,-0.17643225295209708
Leiden,8,757,NKp46,-0.070184164,-0.029179927435188206
Leiden,8,757,NKG2D,1.5557619,1.1833174186372233
Leiden,8,757,NKG2C,-0.052636355,0.09013119159138436
Leiden,8,757,2B4,1.47317,0.16494174081166713
Leiden,8,757,CD33,2.0061266,-0.04655567187837378
Leiden,8,757,CD11b,0.17341118,0.05975574694301034
Leiden,8,757,NKp30,-0.030390577,0.022084264422752017
Leiden,8,757,CD122,0.42816812,0.6097858021629113
Leiden,8,757,3DL1,-0.08079638,-0.006498050336897944
Leiden,8,757,NKp44,-0.08940223,-0.02971100575600598
Leiden,8,757,CD127,1.3156056,0.6012512962023558
Leiden,8,757,2DL1,-0.020943278,0.4289704233777845
Leiden,8,757,CD94,3.7070394,3.204792869890816
Leiden,8,757,CD34,0.8664957,0.7253730832283402
Leiden,8,757,CCR7,-0.024271205,-0.007787772119568221
Leiden,8,757,2DL3,-0.03483255,0.18500554633695046
Leiden,8,757,NKG2A,3.6441147,2.2841875807753924
Leiden,8,757,HLA-DR,2.5157044,-0.20199413258999285
Leiden,8,757,2DL4,0.21186613,-0.1847950936031335
Leiden,8,757,CD56,1.063804,0.46795868840522614
Leiden,8,757,2DL5,-0.05282874,0.030759251886390535
Leiden,8,757,CD25,-0.074895844,0.00900150196533152
Leiden,9,615,CD3,3.1181748,-0.16465246157289304
Leiden,9,615,CD27,0.077693,-0.14098982277382455
Leiden,9,615,CD19,-0.02070295,0.0023979218802035033
Leiden,9,615,CD4,0.28120467,-0.16859359676134858
Leiden,9,615,CD8,2.4203236,0.2696745899656488
Leiden,9,615,CD57,1.6143091,1.2695865465076057
Leiden,9,615,2DL1-S1,-0.024481444,0.3798313458254254
Leiden,9,615,TRAIL,-0.073041394,0.16975331588288542
Leiden,9,615,2DL2-L3-S2,-0.017060969,0.45934448944587236
Leiden,9,615,CD16,2.5996494,1.3931103650317476
Leiden,9,615,CD10,-0.0007058054,0.4337761562152622
Leiden,9,615,3DL1-S1,2.0634298,19.538491051451707
Leiden,9,615,CD117,-0.056755386,0.2297307856859839
Leiden,9,615,2DS4,-0.030390188,0.289552806798219
Leiden,9,615,ILT2-CD85j,1.1226046,0.03412546341469423
Leiden,9,615,NKp46,0.28680646,0.9909995918704407
Leiden,9,615,NKG2D,1.0758574,0.8230079081072383
Leiden,9,615,NKG2C,-0.037558172,0.18831338203571624
Leiden,9,615,2B4,1.8420147,0.32512553434731506
Leiden,9,615,CD33,1.9877129,-0.05265318125396404
Leiden,9,615,CD11b,0.31062996,0.1551499026746548
Leiden,9,615,NKp30,0.9356167,1.3380292327886116
Leiden,9,615,CD122,1.3591305,1.8082462522190197
Leiden,9,615,3DL1,3.3537965,28.98223041484029
Leiden,9,615,NKp44,0.54866457,5.610852218549193
Leiden,9,615,CD127,0.09877442,-0.018967501008442206
Leiden,9,615,2DL1,-0.031012353,0.3497532662821224
Leiden,9,615,CD94,1.5913018,1.3952683393924508
Leiden,9,615,CD34,0.054433662,0.06596346320330239
Leiden,9,615,CCR7,-0.023450553,-0.007139063684525301
Leiden,9,615,2DL3,-0.014440973,0.3080561541747917
Leiden,9,615,NKG2A,0.77469957,0.4150864651440672
Leiden,9,615,HLA-DR,2.6691532,-0.16252405138219467
Leiden,9,615,2DL4,0.3751214,-0.10225721348041943
Leiden,9,615,CD56,2.5082278,1.3106972426515537
Leiden,9,615,2DL5,-0.04675819,0.05306716862996429
Leiden,9,615,CD25,-0.062524214,0.11048035675902065
Leiden,10,531,CD3,3.4712133,-0.038854491638120284
Leiden,10,531,CD27,0.33628276,0.006943343164438817
Leiden,10,531,CD19,-0.029525064,-0.003935835136169679
Leiden,10,531,CD4,1.1300455,0.22550090248622134
Leiden,10,531,CD8,1.2918202,-0.12153519055471117
Leiden,10,531,CD57,-0.0588179,-0.020591848625600026
Leiden,10,531,2DL1-S1,-0.085138924,-0.10387414319468072
Leiden,10,531,TRAIL,-0.08031463,0.10224823904829927
Leiden,10,531,2DL2-L3-S2,-0.08999182,-0.12857315879503423
Leiden,10,531,CD16,-0.012511146,-0.01399897754896498
Leiden,10,531,CD10,-0.07465618,-0.05421267809964973
Leiden,10,531,3DL1-S1,-0.09290003,-0.04279209486510981
Leiden,10,531,CD117,1.515718,13.741455979399872
Leiden,10,531,2DS4,-0.058989123,0.07301781148370529
Leiden,10,531,ILT2-CD85j,2.0942972,0.42402057932950826
Leiden,10,531,NKp46,-0.050604403,0.02677356310519004
Leiden,10,531,NKG2D,-0.04919854,-0.021677519989323348
Leiden,10,531,NKG2C,-0.06887686,-0.015619518496300784
Leiden,10,531,2B4,1.6088109,0.22384856981422604
Leiden,10,531,CD33,3.5459607,0.46334242119776836
Leiden,10,531,CD11b,0.5583981,0.32739770554609926
Leiden,10,531,NKp30,-0.058624916,-0.0163780087111792
Leiden,10,531,CD122,-0.062648326,-0.022059349768934595
Leiden,10,531,3DL1,-0.08192054,-0.015986198662523207
Leiden,10,531,NKp44,-0.089442484,-0.03006686759556124
Leiden,10,531,CD127,0.10880612,-0.013854343957363421
Leiden,10,531,2DL1,-0.08958749,-0.11107905461175845
Leiden,10,531,CD94,-0.06757082,-0.02351379634151803
Leiden,10,531,CD34,0.6448883,0.5454236865485929
Leiden,10,531,CCR7,0.20941985,0.17694024648432205
Leiden,10,531,2DL3,-0.04223373,0.14034396168627078
Leiden,10,531,NKG2A,0.44042516,0.19734429846712712
Leiden,10,531,HLA-DR,5.3045497,0.5153522139751457
Leiden,10,531,2DL4,1.7204318,0.577898868313922
Leiden,10,531,CD56,0.33689737,0.04385025280448609
Leiden,10,531,2DL5,-0.0482223,0.047686892019632596
Leiden,10,531,CD25,-0.0626016,0.10984556847654652
Leiden,11,506,CD3,3.7261448,0.05198504676668586
Leiden,11,506,CD27,0.7592138,0.24889232301715677
Leiden,11,506,CD19,-0.038587622,-0.010442217579820315
Leiden,11,506,CD4,-0.020988287,-0.30889384267656517
Leiden,11,506,CD8,1.518204,-0.043056423460400804
Leiden,11,506,CD57,-0.03609348,-0.0030686386613959457
Leiden,11,506,2DL1-S1,-0.076030776,-0.03124235048298605
Leiden,11,506,TRAIL,-0.08829207,0.02820720958614453
Leiden,11,506,2DL2-L3-S2,-0.08024349,-0.049988907507479155
Leiden,11,506,CD16,-0.016885027,-0.01635508370789077
Leiden,11,506,CD10,-0.08480224,-0.12116519469382718
Leiden,11,506,3DL1-S1,-0.08994555,-0.015962911907534634
Leiden,11,506,CD117,-0.087084375,-0.030875832551335518
Leiden,11,506,2DS4,2.7545114,21.375256797661297
Leiden,11,506,ILT2-CD85j,0.2536776,-0.31453460393695737
Leiden,11,506,NKp46,-0.07077627,-0.030871998499958593
Leiden,11,506,NKG2D,-0.025197335,-0.003657554277623849
Leiden,11,506,NKG2C,-0.066425405,0.00034324187107887476
Leiden,11,506,2B4,1.0742302,-0.008311963668683805
Leiden,11,506,CD33,2.3320715,0.06137718373363075
Leiden,11,506,CD11b,-0.030333443,-0.08188699938519536
Leiden,11,506,NKp30,2.5245361,3.5025374192784127
Leiden,11,506,CD122,0.3259042,0.47813787444410777
Leiden,11,506,3DL1,-0.084860064,-0.04079642180245302
Leiden,11,506,NKp44,-0.101316206,-0.13503155437568332
Leiden,11,506,CD127,-0.00039157787,-0.06951240157957253
Leiden,11,506,2DL1,-0.08178473,-0.0496918884139641
Leiden,11,506,CD94,0.2280475,0.2293193537386538
Leiden,11,506,CD34,-0.06057341,-0.02742443352529726
Leiden,11,506,CCR7,-0.035228226,-0.0164490752666294
Leiden,11,506,2DL3,-0.088134885,-0.13664124085084822
Leiden,11,506,NKG2A,-0.030682303,-0.10952921810829806
Leiden,11,506,HLA-DR,2.5832422,-0.18462207433732497
Leiden,11,506,2DL4,-0.012668293,-0.2983142295658668
Leiden,11,506,CD56,1.2302535,0.5650724039655393
Leiden,11,506,2DL5,-0.06407015,-0.010550417715844038
Leiden,11,506,CD25,-0.085192814,-0.07545986885949085
Leiden,12,420,CD3,1.8098321,-0.6308532640308686
Leiden,12,420,CD27,-0.028602514,-0.20179900376482535
Leiden,12,420,CD19,-0.040848985,-0.012065742820280034
Leiden,12,420,CD4,1.0563207,0.19127238522536524
Leiden,12,420,CD8,1.1740081,-0.1623762014129046
Leiden,12,420,CD57,-0.06550645,-0.02574951024601078
Leiden,12,420,2DL1-S1,-0.073879555,-0.014087707015239858
Leiden,12,420,TRAIL,-0.083991036,0.06812639928831092
Leiden,12,420,2DL2-L3-S2,0.33887303,3.3286358688832944
Leiden,12,420,CD16,4.91179,2.6386060856602187
Leiden,12,420,CD10,1.5716166,10.809326157711888
Leiden,12,420,3DL1-S1,-0.062129565,0.23662953179466548
Leiden,12,420,CD117,-0.005029014,0.6741977812768867
Leiden,12,420,2DS4,-0.075092345,-0.048906707077028704
Leiden,12,420,ILT2-CD85j,3.6654253,1.0544413129639874
Leiden,12,420,NKp46,-0.005209796,0.1564986778346068
Leiden,12,420,NKG2D,-0.045019656,-0.018540037342991336
Leiden,12,420,NKG2C,-0.086404726,-0.12975289853963742
Leiden,12,420,2B4,1.8848504,0.3437284538131331
Leiden,12,420,CD33,3.4417267,0.4288265532863195
Leiden,12,420,CD11b,0.15506336,0.047000392425212506
Leiden,12,420,NKp30,-0.06845005,-0.029762311741355824
Leiden,12,420,CD122,-0.07915361,-0.04330718138581905
Leiden,12,420,3DL1,-0.08481413,-0.04040873848418126
Leiden,12,420,NKp44,-0.0766118,0.0833574250580233
Leiden,12,420,CD127,0.2966908,0.08191046461102688
Leiden,12,420,2DL1,-0.083521515,-0.06335580075623871
Leiden,12,420,CD94,-0.061707575,-0.018499144754857127
Leiden,12,420,CD34,-0.0043447604,0.018234282336944876
Leiden,12,420,CCR7,-0.056614023,-0.03335411224165119
Leiden,12,420,2DL3,-0.052966535,0.07557809983136753
Leiden,12,420,NKG2A,0.22153458,0.05476170683162265
Leiden,12,420,HLA-DR,4.9612947,0.42706020616893
Leiden,12,420,2DL4,1.4857715,0.45926036711233903
Leiden,12,420,CD56,0.28976083,0.016348776187203012
Leiden,12,420,2DL5,-0.060430437,0.0028247140107115444
Leiden,12,420,CD25,-0.0754361,0.004570023392233916
Leiden,13,401,CD3,3.1333985,-0.15922779680869903
Leiden,13,401,CD27,0.28455517,-0.02264880544363727
Leiden,13,401,CD19,-0.019227086,0.0034575059211512473
Leiden,13,401,CD4,1.0314586,0.17972958848240078
Leiden,13,401,CD8,1.8475235,0.07110627695932564
Leiden,13,401,CD57,-0.018512834,0.010488115321292598
Leiden,13,401,2DL1-S1,-0.07160758,0.004029854683536362
Leiden,13,401,TRAIL,1.5427779,15.166658537092825
Leiden,13,401,2DL2-L3-S2,-0.043887347,0.2430889512867831
Leiden,13,401,CD16,1.5881191,0.8482228357292318
Leiden,13,401,CD10,-0.014636514,0.3418492600985799
Leiden,13,401,3DL1-S1,-0.07909681,0.08255272696291735
Leiden,13,401,CD117,-0.055986665,0.2363361429236925
Leiden,13,401,2DS4,-0.05147909,0.129879540309363
Leiden,13,401,ILT2-CD85j,1.9931989,0.3834545252553656
Leiden,13,401,NKp46,-0.006935225,0.1515678868115579
Leiden,13,401,NKG2D,0.05559094,0.056997807914743785
Leiden,13,401,NKG2C,-0.052645013,0.09007481744944885
Leiden,13,401,2B4,1.9436396,0.36925976124960647
Leiden,13,401,CD33,3.1692283,0.3385918937075578
Leiden,13,401,CD11b,0.6164709,0.3677697320492399
Leiden,13,401,NKp30,-0.016277727,0.041309518047832984
