cell_id,sample_id,event_index,kmeans_k6,kmeans_k10,kmeans_k14,ward_k6,ward_k10,ward_k14,leiden_r0.5,leiden_r1.0,leiden_r1.5
gated_alive:a_005:57585,a_005,57585,2,1,7,4,7,13,2,4,2
gated_alive:a_005:58044,a_005,58044,2,6,2,4,7,10,2,4,2
gated_alive:a_005:58177,a_005,58177,3,4,5,3,6,9,2,6,9
gated_alive:a_005:58649,a_005,58649,5,2,1,0,1,1,0,0,10
gated_alive:a_005:58936,a_005,58936,0,4,8,0,1,1,0,5,7
gated_alive:a_005:59191,a_005,59191,2,6,5,4,7,13,2,5,14
gated_alive:a_005:59289,a_005,59289,1,0,0,1,2,2,3,1,4
gated_alive:a_005:59759,a_005,59759,2,6,5,3,6,8,2,4,2
gated_alive:a_005:60139,a_005,60139,5,2,1,0,1,1,0,0,8
gated_alive:a_005:60415,a_005,60415,2,6,2,3,6,8,2,4,2
gated_alive:a_005:60437,a_005,60437,3,4,12,1,5,5,1,2,3
gated_alive:a_005:60964,a_005,60964,3,4,8,1,5,5,1,2,3
gated_alive:a_005:61450,a_005,61450,5,2,1,0,1,1,0,0,0
gated_alive:a_005:61482,a_005,61482,3,9,12,3,6,8,1,6,3
gated_alive:a_005:61802,a_005,61802,3,9,12,1,5,5,1,2,3
gated_alive:a_005:61895,a_005,61895,3,9,12,3,6,8,1,2,3
gated_alive:a_005:62212,a_005,62212,0,4,8,2,3,3,4,5,7
gated_alive:a_005:62278,a_005,62278,3,3,4,1,5,5,1,2,3
gated_alive:a_005:62523,a_005,62523,3,9,12,1,5,5,1,2,3
gated_alive:a_005:62827,a_005,62827,3,3,4,1,5,5,1,2,3
gated_alive:a_005:62889,a_005,62889,5,2,3,0,1,1,0,0,11
gated_alive:a_005:62989,a_005,62989,5,2,1,0,1,1,0,0,0
gated_alive:a_005:63352,a_005,63352,5,2,1,0,1,1,0,0,0
gated_alive:a_005:63413,a_005,63413,3,9,12,1,5,5,1,2,3
gated_alive:a_005:64582,a_005,64582,2,6,13,3,9,12,2,4,2
gated_alive:a_005:64675,a_005,64675,3,9,12,1,5,5,1,6,3
gated_alive:a_005:65477,a_005,65477,1,0,0,1,2,2,3,8,10
gated_alive:a_005:65572,a_005,65572,5,8,10,0,0,0,0,8,10
gated_alive:a_005:65788,a_005,65788,3,9,12,1,5,5,1,2,3
gated_alive:a_005:66261,a_005,66261,3,3,4,1,5,5,1,2,3
gated_alive:a_005:68145,a_005,68145,3,9,12,1,5,5,1,2,3
gated_alive:a_005:69014,a_005,69014,3,9,12,1,5,5,1,2,3
gated_alive:a_005:69170,a_005,69170,4,7,9,5,8,11,6,9,13
gated_alive:a_005:69239,a_005,69239,2,1,7,4,7,10,2,4,2
gated_alive:a_005:69363,a_005,69363,0,5,3,0,0,0,5,7,11
gated_alive:a_005:69432,a_005,69432,3,4,8,1,5,5,1,2,5
gated_alive:a_005:69623,a_005,69623,2,9,13,3,9,12,5,10,16
gated_alive:a_005:69910,a_005,69910,3,9,12,1,5,5,1,2,3
gated_alive:a_005:70259,a_005,70259,5,2,1,0,1,1,0,0,7
gated_alive:a_005:70271,a_005,70271,0,4,8,0,1,1,0,5,7
gated_alive:a_005:70496,a_005,70496,3,3,4,1,5,5,1,2,3
gated_alive:a_005:70510,a_005,70510,1,0,0,1,2,2,3,1,4
gated_alive:a_005:70830,a_005,70830,5,2,1,0,0,7,0,7,12
gated_alive:a_005:71081,a_005,71081,0,2,1,0,1,1,0,0,7
gated_alive:a_005:71830,a_005,71830,0,2,1,0,1,1,0,0,7
gated_alive:a_005:72126,a_005,72126,3,9,12,3,9,12,1,6,3
gated_alive:a_005:72174,a_005,72174,3,9,4,1,5,5,1,2,3
gated_alive:a_005:72302,a_005,72302,0,2,3,0,0,0,0,8,10
gated_alive:a_005:72555,a_005,72555,1,4,0,3,6,8,3,1,4
gated_alive:a_005:73152,a_005,73152,0,4,8,2,3,3,0,5,7
gated_alive:a_005:73442,a_005,73442,0,5,11,2,3,3,4,3,1
gated_alive:a_005:73550,a_005,73550,3,3,4,3,6,8,1,2,3
gated_alive:a_005:73843,a_005,73843,5,2,3,2,3,3,5,7,11
gated_alive:a_005:73931,a_005,73931,3,9,12,1,5,5,1,4,3
gated_alive:a_005:74152,a_005,74152,3,9,12,3,6,8,1,2,3
gated_alive:a_005:74997,a_005,74997,3,4,4,1,5,5,1,2,3
gated_alive:a_005:75094,a_005,75094,0,2,3,2,3,3,5,7,11
gated_alive:a_005:75420,a_005,75420,3,4,12,1,5,5,1,2,3
gated_alive:a_005:75858,a_005,75858,0,2,1,2,3,3,0,5,7
gated_alive:a_005:76093,a_005,76093,0,5,11,0,1,1,4,3,1
gated_alive:a_005:76254,a_005,76254,0,5,11,2,3,3,4,5,7
gated_alive:a_005:76320,a_005,76320,5,9,12,1,5,5,1,6,3
gated_alive:a_005:76339,a_005,76339,3,9,12,1,5,5,1,2,3
gated_alive:a_005:77029,a_005,77029,2,6,2,4,7,13,2,4,2
gated_alive:a_005:77297,a_005,77297,2,8,10,4,7,10,0,6,9
gated_alive:a_005:77599,a_005,77599,3,9,12,3,6,8,1,2,3
gated_alive:a_005:77604,a_005,77604,3,4,5,3,6,9,2,6,9
gated_alive:a_005:77621,a_005,77621,3,9,12,1,5,5,1,6,3
gated_alive:a_005:77824,a_005,77824,3,9,12,0,1,1,1,2,3
gated_alive:a_005:78391,a_005,78391,3,9,12,3,6,8,1,2,3
gated_alive:a_005:78720,a_005,78720,5,8,10,3,6,9,0,7,12
gated_alive:a_005:78958,a_005,78958,5,2,13,3,9,12,5,10,16
gated_alive:a_005:79155,a_005,79155,0,4,8,2,3,3,0,5,7
gated_alive:a_005:79198,a_005,79198,2,6,2,4,7,13,2,4,2
gated_alive:a_005:79759,a_005,79759,3,3,4,1,5,5,1,2,3
gated_alive:a_005:79971,a_005,79971,5,2,1,0,1,1,0,0,0
gated_alive:a_005:80634,a_005,80634,4,7,9,5,8,11,6,9,13
gated_alive:a_005:80929,a_005,80929,0,5,11,2,3,3,4,3,1
gated_alive:a_005:80964,a_005,80964,0,2,1,0,1,1,0,0,0
gated_alive:a_005:81033,a_005,81033,0,4,8,3,6,8,2,5,14
gated_alive:a_005:81234,a_005,81234,0,9,12,2,3,3,1,6,3
gated_alive:a_005:81426,a_005,81426,3,9,12,3,6,8,1,6,3
gated_alive:a_005:81630,a_005,81630,0,2,1,0,1,1,0,0,0
gated_alive:a_005:81915,a_005,81915,3,4,8,1,5,5,1,2,3
gated_alive:a_005:81971,a_005,81971,3,9,12,1,5,5,1,6,3
gated_alive:a_005:82081,a_005,82081,0,2,3,2,3,3,5,7,11
gated_alive:a_005:82605,a_005,82605,3,9,12,3,6,8,1,6,3
gated_alive:a_005:83032,a_005,83032,0,2,1,0,1,1,0,0,8
gated_alive:a_005:83638,a_005,83638,3,3,6,1,5,5,1,2,5
gated_alive:a_005:84413,a_005,84413,5,2,1,0,1,1,0,0,0
gated_alive:a_005:84459,a_005,84459,0,2,1,2,3,3,0,5,7
gated_alive:a_005:84496,a_005,84496,0,5,11,2,3,3,4,3,1
gated_alive:a_005:84571,a_005,84571,4,7,9,5,8,11,6,9,13
gated_alive:a_005:84623,a_005,84623,5,2,1,0,1,1,0,0,0
gated_alive:a_005:84866,a_005,84866,2,6,2,4,7,13,2,4,2
gated_alive:a_005:84907,a_005,84907,3,9,12,3,6,8,1,2,3
gated_alive:a_005:85046,a_005,85046,3,9,12,3,6,8,1,2,3
gated_alive:a_005:85715,a_005,85715,5,2,1,0,1,1,0,0,0
gated_alive:a_005:85886,a_005,85886,3,9,5,3,6,9,2,6,9
gated_alive:a_005:86601,a_005,86601,2,6,2,0,0,0,2,4,2
gated_alive:a_005:86625,a_005,86625,2,6,2,4,7,10,2,4,2
gated_alive:a_005:87648,a_005,87648,0,4,8,2,3,3,0,5,7
gated_alive:a_005:88177,a_005,88177,0,5,11,2,3,3,5,3,11
gated_alive:a_005:88599,a_005,88599,1,0,6,0,0,6,3,1,6
gated_alive:a_005:88770,a_005,88770,5,2,1,0,1,1,0,0,0
gated_alive:a_005:88845,a_005,88845,5,9,12,0,1,1,0,6,9
gated_alive:a_005:88858,a_005,88858,1,0,0,1,2,2,3,1,4
gated_alive:a_005:89125,a_005,89125,1,4,0,1,5,5,1,2,3
gated_alive:a_005:89337,a_005,89337,1,0,12,3,6,8,1,6,3
gated_alive:a_005:89633,a_005,89633,2,1,7,4,7,10,2,4,2
gated_alive:a_005:90647,a_005,90647,5,2,1,0,1,1,0,0,0
gated_alive:a_005:90824,a_005,90824,2,1,7,4,7,13,2,4,2
gated_alive:a_005:90882,a_005,90882,1,4,0,1,5,5,1,1,4
gated_alive:a_005:91066,a_005,91066,0,5,11,0,1,1,0,0,0
gated_alive:a_005:91632,a_005,91632,5,2,1,0,0,0,0,0,0
gated_alive:a_005:91637,a_005,91637,3,9,12,1,5,5,1,2,3
gated_alive:a_005:92119,a_005,92119,5,2,1,0,1,1,0,0,0
gated_alive:a_005:92539,a_005,92539,5,9,12,0,1,1,0,7,9
gated_alive:a_005:93007,a_005,93007,3,3,4,1,5,5,1,2,12
gated_alive:a_005:93337,a_005,93337,0,2,1,2,3,3,0,5,7
gated_alive:a_005:93667,a_005,93667,3,9,12,3,4,4,1,2,3
gated_alive:a_005:93860,a_005,93860,3,9,12,3,6,8,2,4,3
gated_alive:a_005:94279,a_005,94279,2,6,2,4,7,10,2,4,2
gated_alive:a_005:94490,a_005,94490,1,4,0,1,5,5,3,1,4
gated_alive:a_005:94787,a_005,94787,2,6,2,5,8,11,2,4,2
gated_alive:a_005:95095,a_005,95095,5,2,1,0,1,1,0,0,0
gated_alive:a_005:95426,a_005,95426,0,2,1,0,1,1,0,0,0
gated_alive:a_005:95812,a_005,95812,2,6,2,4,7,10,2,4,2
gated_alive:a_005:95847,a_005,95847,0,5,11,2,3,3,4,3,1
gated_alive:a_005:96289,a_005,96289,2,1,7,4,7,13,2,4,2
gated_alive:a_005:96340,a_005,96340,0,5,11,2,3,3,4,3,1
gated_alive:a_005:96558,a_005,96558,5,1,3,3,9,12,5,7,11
gated_alive:a_005:96583,a_005,96583,5,2,1,0,1,1,0,0,0
gated_alive:a_005:96674,a_005,96674,2,6,2,5,8,11,2,4,2
gated_alive:a_005:96829,a_005,96829,0,4,8,2,3,3,0,5,7
gated_alive:a_005:97435,a_005,97435,1,0,0,1,2,2,3,1,4
gated_alive:a_005:98247,a_005,98247,3,3,5,3,6,9,2,6,9
gated_alive:a_005:98428,a_005,98428,3,3,4,1,5,5,1,2,12
gated_alive:a_005:98862,a_005,98862,1,4,0,1,5,5,3,1,4
gated_alive:a_005:99569,a_005,99569,5,2,3,2,3,3,5,7,11
gated_alive:a_005:99722,a_005,99722,3,3,4,1,5,5,1,2,3
gated_alive:a_005:99890,a_005,99890,2,6,2,4,7,10,2,4,2
gated_alive:a_005:99931,a_005,99931,2,1,7,4,7,13,2,4,2
gated_alive:a_005:100542,a_005,100542,2,6,5,4,7,10,2,4,2
gated_alive:a_005:100761,a_005,100761,3,4,8,1,5,5,2,5,7
gated_alive:a_005:101128,a_005,101128,3,9,5,3,6,9,2,6,9
gated_alive:a_005:101195,a_005,101195,3,9,12,1,5,5,1,2,3
gated_alive:a_005:101204,a_005,101204,2,1,2,4,7,10,2,4,2
gated_alive:a_005:101467,a_005,101467,2,6,2,4,7,10,2,4,2
gated_alive:a_005:101992,a_005,101992,3,9,12,3,6,8,1,6,3
gated_alive:a_005:102276,a_005,102276,1,0,0,1,2,2,3,1,6
gated_alive:a_005:102643,a_005,102643,2,6,2,4,7,10,2,4,2
gated_alive:a_005:102741,a_005,102741,3,3,4,1,5,5,1,2,5
gated_alive:a_005:103045,a_005,103045,5,2,1,0,1,1,0,0,0
gated_alive:a_005:103457,a_005,103457,3,4,8,3,6,8,1,6,3
gated_alive:a_005:103656,a_005,103656,5,2,1,3,6,8,0,0,8
gated_alive:a_005:103752,a_005,103752,3,9,12,1,2,2,1,6,3
gated_alive:a_005:104768,a_005,104768,0,4,8,3,6,8,2,5,7
gated_alive:a_005:104875,a_005,104875,0,4,8,2,3,3,0,5,7
gated_alive:a_005:104954,a_005,104954,3,9,12,3,6,8,1,6,3
gated_alive:a_005:105005,a_005,105005,3,9,13,3,9,12,5,10,16
gated_alive:a_005:105011,a_005,105011,0,5,11,2,3,3,4,5,7
gated_alive:a_005:105301,a_005,105301,2,6,2,4,7,10,2,4,2
gated_alive:a_005:105302,a_005,105302,5,2,1,0,1,1,0,0,0
gated_alive:a_005:105472,a_005,105472,3,9,5,4,7,13,2,4,2
gated_alive:a_005:105599,a_005,105599,2,1,7,4,7,13,2,4,2
gated_alive:a_005:106487,a_005,106487,2,1,7,4,7,13,2,4,2
gated_alive:a_005:107209,a_005,107209,0,5,11,2,3,3,4,3,1
gated_alive:a_005:107303,a_005,107303,1,9,0,3,6,8,1,6,3
gated_alive:a_005:107484,a_005,107484,1,4,0,1,5,5,3,1,4
gated_alive:a_005:107501,a_005,107501,2,6,2,4,7,13,2,4,2
gated_alive:a_005:108257,a_005,108257,0,2,1,0,1,1,0,0,0
gated_alive:a_005:108347,a_005,108347,5,2,1,0,1,1,0,0,8
gated_alive:a_005:108392,a_005,108392,3,1,7,4,7,13,2,4,2
gated_alive:a_005:108601,a_005,108601,3,4,4,1,5,5,1,2,3
gated_alive:a_005:109289,a_005,109289,3,3,4,1,5,5,1,2,5
gated_alive:a_005:109866,a_005,109866,1,3,4,1,5,5,1,2,5
gated_alive:a_005:110069,a_005,110069,0,4,8,3,6,8,2,5,7
gated_alive:a_005:110593,a_005,110593,0,4,8,3,6,8,2,5,9
gated_alive:a_005:110891,a_005,110891,0,5,11,2,3,3,4,3,1
gated_alive:a_005:111211,a_005,111211,5,2,1,0,1,1,0,0,8
gated_alive:a_005:111342,a_005,111342,5,2,1,0,1,1,0,0,0
gated_alive:a_005:111474,a_005,111474,3,9,12,1,5,5,1,2,3
gated_alive:a_005:111621,a_005,111621,0,2,1,0,0,0,0,8,10
gated_alive:a_005:112079,a_005,112079,3,4,8,1,5,5,1,2,3
gated_alive:a_005:112330,a_005,112330,3,4,12,1,5,5,1,2,3
gated_alive:a_005:113107,a_005,113107,0,4,8,2,3,3,4,5,7
gated_alive:a_005:113183,a_005,113183,2,6,2,4,7,10,2,4,2
gated_alive:a_005:113666,a_005,113666,3,4,8,3,9,12,2,4,2
gated_alive:a_005:113730,a_005,113730,5,2,1,0,1,1,0,0,0
gated_alive:a_005:114168,a_005,114168,5,2,3,0,0,0,5,7,11
gated_alive:a_005:114303,a_005,114303,0,4,8,1,5,5,2,5,7
gated_alive:a_005:114509,a_005,114509,2,6,2,4,7,10,2,4,2
gated_alive:a_005:114894,a_005,114894,5,2,1,0,1,1,0,0,0
gated_alive:a_005:115333,a_005,115333,2,1,7,4,7,13,2,4,2
gated_alive:a_005:115458,a_005,115458,3,9,12,3,6,8,1,2,3
gated_alive:a_005:115738,a_005,115738,2,6,2,3,6,8,2,4,2
gated_alive:a_005:115910,a_005,115910,3,3,4,1,5,5,1,2,3
gated_alive:a_005:116227,a_005,116227,1,0,0,2,3,3,3,1,4
gated_alive:a_005:116299,a_005,116299,3,9,12,1,5,5,1,2,3
gated_alive:a_005:116625,a_005,116625,0,4,8,2,3,3,2,5,7
gated_alive:a_005:116816,a_005,116816,0,4,8,3,6,8,2,4,2
gated_alive:a_005:117457,a_005,117457,5,2,1,0,1,1,0,0,0
gated_alive:a_005:117837,a_005,117837,1,0,0,1,2,2,3,1,6
gated_alive:a_005:117908,a_005,117908,0,5,11,2,3,3,4,3,1
gated_alive:a_005:118063,a_005,118063,0,4,8,2,3,3,2,5,7
gated_alive:a_005:118661,a_005,118661,1,4,0,1,5,5,3,1,4
gated_alive:a_005:118678,a_005,118678,3,9,5,3,6,9,2,6,9
gated_alive:a_005:118821,a_005,118821,0,4,8,2,3,3,4,5,7
gated_alive:a_005:119456,a_005,119456,1,4,0,1,5,5,3,1,4
gated_alive:a_005:119697,a_005,119697,3,4,4,1,5,5,1,2,3
gated_alive:a_005:119717,a_005,119717,1,3,4,1,2,2,1,2,5
gated_alive:a_005:119887,a_005,119887,3,4,4,1,5,5,1,2,3
gated_alive:a_005:119988,a_005,119988,0,5,11,2,3,3,4,3,1
gated_alive:a_005:120037,a_005,120037,2,6,2,4,7,10,2,4,2
gated_alive:a_005:120076,a_005,120076,0,4,8,2,3,3,0,3,11
gated_alive:a_005:120098,a_005,120098,2,6,2,3,6,8,2,4,2
gated_alive:a_005:120195,a_005,120195,0,4,8,3,6,8,2,5,7
gated_alive:a_005:120828,a_005,120828,2,6,2,4,7,10,2,4,2
gated_alive:a_005:121604,a_005,121604,3,9,4,3,6,8,1,2,3
gated_alive:a_005:121683,a_005,121683,0,4,8,2,3,3,5,5,7
gated_alive:a_005:122200,a_005,122200,1,0,0,1,2,2,3,1,4
gated_alive:a_005:122266,a_005,122266,2,1,7,3,4,4,2,4,2
gated_alive:a_005:123099,a_005,123099,5,2,1,0,1,1,0,0,0
gated_alive:a_005:123349,a_005,123349,2,6,2,4,7,13,2,4,2
gated_alive:a_005:123490,a_005,123490,1,0,0,3,4,4,3,1,17
gated_alive:a_005:124236,a_005,124236,3,9,12,3,6,8,1,2,3
gated_alive:a_005:124662,a_005,124662,0,5,11,0,1,1,4,5,7
gated_alive:a_005:125205,a_005,125205,3,9,12,1,5,5,1,2,3
gated_alive:a_005:125615,a_005,125615,3,9,12,1,5,5,1,4,2
gated_alive:a_005:125976,a_005,125976,0,4,5,3,6,8,2,6,9
gated_alive:a_005:126508,a_005,126508,3,9,4,1,5,5,1,2,3
gated_alive:a_005:126516,a_005,126516,0,4,8,2,3,3,4,5,7
gated_alive:a_005:127940,a_005,127940,1,0,0,1,2,2,3,1,4
gated_alive:a_005:129019,a_005,129019,5,2,1,0,1,1,0,0,0
gated_alive:a_005:129207,a_005,129207,3,4,5,3,6,8,2,6,9
gated_alive:a_005:129654,a_005,129654,2,1,7,4,7,13,2,4,2
gated_alive:a_005:129834,a_005,129834,3,9,12,1,5,5,1,2,3
gated_alive:a_005:129952,a_005,129952,2,6,2,4,7,10,2,4,2
gated_alive:a_005:130551,a_005,130551,3,3,4,1,5,5,1,2,5
gated_alive:a_005:130723,a_005,130723,0,2,1,0,1,1,0,0,7
gated_alive:a_005:131114,a_005,131114,3,9,12,1,5,5,1,6,3
gated_alive:a_005:131511,a_005,131511,3,9,12,3,6,8,1,6,3
gated_alive:a_005:131679,a_005,131679,2,6,13,3,9,12,2,4,2
gated_alive:a_005:132174,a_005,132174,3,9,12,3,6,8,1,6,3
gated_alive:a_005:132207,a_005,132207,3,9,12,3,6,8,1,6,3
gated_alive:a_005:133010,a_005,133010,1,4,0,1,5,5,3,1,4
gated_alive:a_005:133147,a_005,133147,3,4,0,1,5,5,1,2,3
gated_alive:a_005:133152,a_005,133152,2,6,2,4,7,10,2,4,2
gated_alive:a_005:134488,a_005,134488,2,6,2,4,7,10,2,4,2
gated_alive:a_005:135005,a_005,135005,2,6,2,4,7,10,2,4,2
gated_alive:a_005:135560,a_005,135560,3,9,12,3,6,8,1,6,3
gated_alive:a_005:135620,a_005,135620,3,9,12,3,6,8,1,6,3
gated_alive:a_005:136124,a_005,136124,3,9,12,3,6,8,1,2,3
gated_alive:a_005:136226,a_005,136226,2,4,8,3,4,4,2,4,2
gated_alive:a_005:136254,a_005,136254,2,6,2,3,6,8,2,4,2
gated_alive:a_005:136350,a_005,136350,0,4,8,2,3,3,0,5,7
gated_alive:a_005:136898,a_005,136898,0,4,8,2,3,3,0,5,7
gated_alive:a_005:137041,a_005,137041,3,3,4,1,5,5,1,2,5
gated_alive:a_005:137247,a_005,137247,2,6,2,4,7,10,2,4,2
gated_alive:a_005:138665,a_005,138665,2,6,2,4,7,10,2,4,2
gated_alive:a_005:139409,a_005,139409,3,9,13,3,9,12,5,10,16
gated_alive:a_005:139804,a_005,139804,3,9,12,3,6,8,1,6,3
gated_alive:a_005:140043,a_005,140043,3,9,12,3,6,8,1,2,3
gated_alive:a_005:140221,a_005,140221,3,4,4,1,5,5,1,2,3
gated_alive:a_005:140941,a_005,140941,5,2,1,0,1,1,0,0,0
gated_alive:a_005:142099,a_005,142099,3,9,5,3,6,9,2,6,9
gated_alive:a_005:143371,a_005,143371,3,9,12,3,6,8,1,6,3
gated_alive:a_005:144041,a_005,144041,3,4,12,1,5,5,1,2,3
gated_alive:a_005:144135,a_005,144135,3,9,12,3,6,8,1,6,3
gated_alive:a_005:144202,a_005,144202,3,4,4,1,5,5,1,2,3
gated_alive:a_005:144272,a_005,144272,2,6,2,4,7,10,2,4,2
gated_alive:a_005:144294,a_005,144294,1,4,0,1,2,2,3,1,4
gated_alive:a_005:144629,a_005,144629,5,2,1,0,1,1,0,0,0
gated_alive:a_005:144697,a_005,144697,3,9,12,3,6,8,1,2,3
gated_alive:a_005:145015,a_005,145015,4,7,9,5,8,11,6,9,13
gated_alive:a_005:146255,a_005,146255,3,9,12,3,6,8,1,6,3
gated_alive:a_005:146320,a_005,146320,2,6,2,4,7,10,2,4,2
gated_alive:a_005:146596,a_005,146596,3,9,12,3,6,9,2,6,9
gated_alive:a_005:147134,a_005,147134,2,6,2,3,6,8,2,4,2
gated_alive:a_005:147276,a_005,147276,3,9,12,1,5,5,1,6,3
gated_alive:a_005:148126,a_005,148126,2,1,7,4,7,13,2,4,2
gated_alive:a_005:148209,a_005,148209,0,5,11,2,3,3,4,3,1
gated_alive:a_005:148226,a_005,148226,2,6,2,4,7,10,2,4,2
gated_alive:a_005:149287,a_005,149287,1,0,0,1,2,2,3,8,10
gated_alive:a_005:149300,a_005,149300,5,2,1,0,1,1,0,0,0
gated_alive:a_005:149326,a_005,149326,3,4,4,1,5,5,1,2,3
gated_alive:a_005:150072,a_005,150072,0,9,12,2,3,3,5,3,11
gated_alive:a_005:150219,a_005,150219,1,0,0,1,2,2,3,1,4
gated_alive:a_005:151213,a_005,151213,0,5,11,2,3,3,4,3,1
gated_alive:a_005:151690,a_005,151690,1,4,0,3,6,8,1,6,3
gated_alive:a_005:151773,a_005,151773,1,4,5,3,6,9,2,6,9
gated_alive:a_005:152110,a_005,152110,0,4,8,2,3,3,4,5,7
gated_alive:a_005:152926,a_005,152926,2,6,2,4,7,10,2,4,2
gated_alive:a_005:153266,a_005,153266,5,2,1,0,1,1,0,0,0
gated_alive:a_005:153576,a_005,153576,2,9,12,3,9,12,2,4,2
gated_alive:a_005:153601,a_005,153601,2,6,2,4,7,10,2,4,2
gated_alive:a_005:153677,a_005,153677,0,2,1,0,0,0,0,8,10
gated_alive:a_005:154050,a_005,154050,1,0,0,1,2,2,3,1,4
gated_alive:a_005:154381,a_005,154381,0,4,5,3,6,9,2,6,9
gated_alive:a_005:154459,a_005,154459,0,4,8,2,3,3,0,5,7
gated_alive:a_005:154551,a_005,154551,3,9,5,1,5,5,1,2,3
gated_alive:a_005:154750,a_005,154750,0,4,8,2,3,3,4,5,7
gated_alive:a_005:154828,a_005,154828,5,2,1,0,1,1,0,0,0
gated_alive:a_005:154950,a_005,154950,2,6,5,4,7,10,2,4,2
gated_alive:a_005:155036,a_005,155036,1,4,0,1,5,5,3,1,4
gated_alive:a_006:228,a_006,228,1,0,0,1,2,2,3,1,6
gated_alive:a_006:433,a_006,433,1,0,0,1,2,2,3,1,4
gated_alive:a_006:580,a_006,580,1,4,0,1,2,2,3,1,4
gated_alive:a_006:581,a_006,581,3,4,8,1,5,5,1,6,3
gated_alive:a_006:737,a_006,737,5,2,1,0,1,1,0,0,0
gated_alive:a_006:870,a_006,870,1,0,0,1,2,2,3,1,4
gated_alive:a_006:1412,a_006,1412,0,5,11,2,3,3,4,3,1
gated_alive:a_006:1462,a_006,1462,0,4,8,5,8,11,2,5,2
gated_alive:a_006:1575,a_006,1575,1,0,0,1,2,2,3,1,4
gated_alive:a_006:1680,a_006,1680,0,5,11,2,3,3,4,3,1
gated_alive:a_006:2004,a_006,2004,0,5,11,2,3,3,4,3,1
gated_alive:a_006:2287,a_006,2287,1,0,6,3,6,8,3,1,6
gated_alive:a_006:2310,a_006,2310,5,2,1,0,0,6,0,0,0
gated_alive:a_006:2333,a_006,2333,3,4,8,1,5,5,1,2,3
gated_alive:a_006:2566,a_006,2566,3,4,8,3,6,8,1,6,3
gated_alive:a_006:2801,a_006,2801,5,2,3,2,3,3,5,7,11
gated_alive:a_006:3058,a_006,3058,5,9,12,3,6,8,0,0,0
gated_alive:a_006:3214,a_006,3214,1,0,0,1,2,2,3,1,6
gated_alive:a_006:3940,a_006,3940,5,2,1,0,1,1,0,0,0
gated_alive:a_006:4032,a_006,4032,5,2,1,0,1,1,0,0,0
gated_alive:a_006:4066,a_006,4066,3,9,12,3,6,8,1,6,3
gated_alive:a_006:4102,a_006,4102,0,5,11,2,3,3,4,3,1
gated_alive:a_006:4444,a_006,4444,3,9,12,1,5,5,1,2,3
gated_alive:a_006:4554,a_006,4554,2,6,2,3,6,9,2,4,2
gated_alive:a_006:4677,a_006,4677,1,0,0,1,2,2,3,1,4
gated_alive:a_006:5075,a_006,5075,3,4,13,3,9,12,5,10,16
gated_alive:a_006:5297,a_006,5297,1,0,5,3,6,8,3,1,4
gated_alive:a_006:5459,a_006,5459,5,9,12,3,6,8,0,6,9
gated_alive:a_006:5488,a_006,5488,4,7,9,3,6,8,6,9,13
gated_alive:a_006:5511,a_006,5511,0,5,11,2,3,3,4,3,1
gated_alive:a_006:5563,a_006,5563,5,2,1,0,1,1,0,0,0
gated_alive:a_006:5624,a_006,5624,5,2,1,0,1,1,0,0,0
gated_alive:a_006:5645,a_006,5645,1,0,0,1,2,2,3,1,4
gated_alive:a_006:5774,a_006,5774,4,7,8,3,6,8,6,9,13
gated_alive:a_006:5824,a_006,5824,1,0,0,1,2,2,3,1,4
gated_alive:a_006:5866,a_006,5866,3,9,12,3,6,8,1,6,3
gated_alive:a_006:6158,a_006,6158,1,4,0,1,2,2,3,1,4
gated_alive:a_006:6213,a_006,6213,1,5,11,1,2,2,4,3,1
gated_alive:a_006:7043,a_006,7043,5,2,1,0,1,1,0,0,0
gated_alive:a_006:7185,a_006,7185,1,0,0,1,2,2,3,1,4
gated_alive:a_006:7280,a_006,7280,1,4,0,1,2,2,3,1,4
gated_alive:a_006:7426,a_006,7426,0,5,11,2,3,3,4,3,1
gated_alive:a_006:7515,a_006,7515,5,2,1,0,0,7,0,7,12
gated_alive:a_006:7713,a_006,7713,3,9,12,3,6,8,1,6,3
gated_alive:a_006:7787,a_006,7787,3,3,4,1,5,5,1,2,3
gated_alive:a_006:8016,a_006,8016,1,4,0,0,0,0,3,8,10
gated_alive:a_006:8036,a_006,8036,1,0,6,1,2,2,3,1,6
gated_alive:a_006:8452,a_006,8452,1,0,0,1,2,2,3,1,4
gated_alive:a_006:8477,a_006,8477,0,4,8,2,3,3,4,5,7
gated_alive:a_006:8663,a_006,8663,0,4,8,0,1,1,6,9,13
gated_alive:a_006:8721,a_006,8721,1,0,0,1,2,2,3,1,4
gated_alive:a_006:9040,a_006,9040,0,2,1,0,1,1,0,0,0
gated_alive:a_006:9240,a_006,9240,1,0,0,1,2,2,3,1,4
gated_alive:a_006:9291,a_006,9291,5,2,1,0,1,1,0,0,8
gated_alive:a_006:9687,a_006,9687,0,2,8,2,3,3,0,0,7
gated_alive:a_006:9693,a_006,9693,3,9,12,3,6,8,4,3,1
gated_alive:a_006:9932,a_006,9932,5,2,1,0,1,1,0,0,8
gated_alive:a_006:10076,a_006,10076,5,2,3,0,1,1,0,0,0
gated_alive:a_006:10241,a_006,10241,3,9,12,3,6,8,1,6,3
gated_alive:a_006:10427,a_006,10427,1,4,0,3,6,8,3,1,4
